Order,Name,Player,Faction,Income,1e16 kg,d (km),Semi-major (km),Ecc.,Group,Sign,Names
54,Clio,Szilard,Muses,10,0.0015,2,23169389,0.2842,Carme,-1,
55,Euterpe,Szilard,Muses,10,0.0015,1,23174446,0.3118,Carme,-1,
56,Kalyke,Kyle,God™,10,0.019,5,23180773,0.2139,Carme,-1,
57,Carme,Michael,God™,100,13,46,23197992,0.2342,Carme,-1,
58,Callirrhoe,NPCs,Contested,10,0.087,9,23214986,0.2582,Pasiphae,-1,
59,Eurydome,Michael,God™,10,0.0045,3,23230858,0.3769,Pasiphae,-1,
60,Thalia,Good,Muses,10,0.0015,2,23240957,0.236,Carme,-1,
61,Pasithee,NPC NATO,NATO Inc.,10,0.0015,2,23307318,0.3288,Carme,-1,
62,Melpomene,Good,Muses,10,0.0015,2,23314335,0.32,Carme,-1,
63,Kore,NPCs,Contested,10,0.0015,2,23345093,0.1951,Pasiphae,-1,
64,Cyllene,NPC God,God™,10,0.0015,2,23396269,0.4115,Pasiphae,-1,
65,Terpsichore,Evil,Muses,10,0.0015,1,23400981,0.3321,Pasiphae,-1,
66,Eukelade,Good,Muses,10,0.009,4,23483694,0.2828,Carme,-1,
67,Erato,Evil,Muses,10,0.0015,2,23483978,0.3969,Pasiphae,-1,
68,Hesperis,Evening,Daytime,10,0.0015,2,23570790,0.3003,Pasiphae,-1,
69,Pasiphae,NPCs,Contested,100,30,60,23609042,0.3743,Pasiphae,-1,
70,Hegemone,Kyle,God™,10,0.0045,3,23702511,0.4077,Pasiphae,-1,
71,Arche,Gerry,BAIdu,10,0.0045,3,23717051,0.1492,Carme,-1,
72,Isonoe,Eraser,SMS,10,0.0075,4,23800647,0.1775,Carme,-1,
73,Polyhymnia,Evil,Muses,10,0.00015,1,23857808,0.2761,Carme,-1,
74,Urania,Szilard,Muses,10,0.009,4,23973926,0.307,Carme,-1,
75,Sinope,Caug,NATO Inc.,100,7.5,38,24057865,0.275,Pasiphae,-1,
76,Sponde,Afternoon,Daytime,10,0.0015,2,24252627,0.4431,Pasiphae,-1,
77,Autonoe,NPC Yanny,Mrs. Yanny,10,0.009,4,24264445,0.369,Pasiphae,-1,
78,Megaclite,Kalvin,Apples,10,0.021,5,24687239,0.3077,Pasiphae,-1,
79,Dysis,Kalvin,Daytime,10,0.0015,2,28570410,0.4074,Pasiphae (?),-1,
